sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
4.37E+05,0.46387,-1,-1954.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.43E+05,0.19777,-1,-1473.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.47E+05,0.13417,-1,-1635.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.51E+05,0.1272,-1,-1867.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.56E+05,0.1604,-1,-1970.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.57E+05,0.0208,-1,-1944.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.60E+05,0.12183,-1,-1966.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.77E+05,0.55587,-1,-1865.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.93E+05,0.5391,-1,-2028.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.94E+05,0.0381,-1,-1810.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.95E+05,0.043167,-1,-1772.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.16E+05,0.68483,-1,-2304.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.26E+05,0.33847,-1,-1910.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.29E+05,0.083833,-1,-1866.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.32E+05,0.10357,-1,-1515.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.34E+05,0.0862,-1,-1782,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.42E+05,0.24467,-1,-1850.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.51E+05,0.31103,-1,-1929.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.52E+05,0.035267,-1,-1886.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.57E+05,0.14847,-1,-1331.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.67E+05,0.3433,-1,-1870.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.71E+05,0.12807,-1,-2033.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.72E+05,0.0584,-1,-1906.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.77E+05,0.14893,-1,-1955.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
5.87E+05,0.34963,-1,-1630.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.00E+05,0.4253,-1,-1969.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.05E+05,0.15903,-1,-1910.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.10E+05,0.17593,-1,-1829.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.15E+05,0.1652,-1,-1988.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.17E+05,0.070867,-1,-1851.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.25E+05,0.25517,1,-2129.2,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
6.25E+05,0.0051667,2,-1765.9,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
6.29E+05,0.1315,-1,-1795.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
6.33E+05,0.1449,1,-1867.5,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
6.34E+05,0.0058333,2,-1493.7,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
